indicator,type,source,first_seen,last_seen,confidence,score,sightings,tlp,tags,reference,context
94[.]154[.]43[.]77,ipv4,"binarydefense_banlist,blocklist_de_ssh,et_compromised,ipsum_level5,threatfox_export_json",2026-07-20T02:32:09Z,2026-07-25T16:51:50Z,high,96,36,CLEAR,"Mirai,aggregated,binarydefense,blocklist,bruteforce,compromised,drb-ra,emerging-threats,ipsum,multi-list,scanner,ssh,threatfox",https://rules.emergingthreats.net/,Blocklist entry from et_compromised
94[.]154[.]43[.]102,ipv4,"binarydefense_banlist,ci_army_list,threatfox_export_json",2026-07-22T07:51:16Z,2026-07-25T16:51:50Z,high,96,21,CLEAR,"Mirai,binarydefense,blocklist,cins,scanner,threatfox",https://www.binarydefense.com/,Blocklist entry from binarydefense_banlist
CVE-2024-30088,cve,"cisa_kev,nist_nvd_recent",2024-10-15T00:00:00Z,2026-07-25T16:51:49Z,high,88,52,CLEAR,"cve,exploited-in-the-wild,high,nvd",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2024-30088 ; https://nvd.nist.gov/vuln/detail/CVE-2024-30088
CVE-2024-35250,cve,"cisa_kev,nist_nvd_recent",2024-12-16T00:00:00Z,2026-07-25T16:51:49Z,high,88,52,CLEAR,"cve,exploited-in-the-wild,high,nvd",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-35250 ; https://nvd.nist.gov/vuln/detail/CVE-2024-35250
CVE-2026-0770,cve,"cisa_kev,nist_nvd_recent",2026-07-21T00:00:00Z,2026-07-25T16:51:49Z,high,88,26,CLEAR,"critical,cve,exploited-in-the-wild,nvd",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://github.com/langflow-ai/langflow/releases/tag/v1.9.0 ; BOD 26-04: https://www.cisa.gov/news-events/directives/bod-26-04-prioritizing-security-updates-based-risk ; Forensics Triage Requirements: https://www.cisa.gov/news-events/directives/bod-26-04-implementation-guidance-prioritizing-security-updates-based-risk ; https://nvd.nist.gov/vuln/detail/CVE-2026-0770 
CVE-2026-45498,cve,"cisa_kev,nist_nvd_recent",2026-05-20T00:00:00Z,2026-07-25T16:51:49Z,high,88,52,CLEAR,"cve,exploited-in-the-wild,medium,nvd",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2026-45498 ; https://nvd.nist.gov/vuln/detail/CVE-2026-45498
CVE-2026-60137,cve,"cisa_kev,nist_nvd_recent",2026-07-17T20:17:27Z,2026-07-25T16:51:49Z,high,88,27,CLEAR,"cve,exploited-in-the-wild,medium,nvd",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://wordpress.org/news/2026/07/wordpress-7-0-2-release/ ; BOD 26-04: https://www.cisa.gov/news-events/directives/bod-26-04-prioritizing-security-updates-based-risk ; Forensics Triage Requirements: https://www.cisa.gov/news-events/directives/bod-26-04-implementation-guidance-prioritizing-security-updates-based-risk ; https://nvd.nist.gov/vuln/detail/CVE-2026-60137
CVE-2026-63030,cve,"cisa_kev,nist_nvd_recent",2026-07-17T20:17:28Z,2026-07-25T16:51:49Z,high,88,27,CLEAR,"critical,cve,exploited-in-the-wild,nvd",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://wordpress.org/news/2026/07/wordpress-7-0-2-release/ ; BOD 26-04: https://www.cisa.gov/news-events/directives/bod-26-04-prioritizing-security-updates-based-risk ; Forensics Triage Requirements: https://www.cisa.gov/news-events/directives/bod-26-04-implementation-guidance-prioritizing-security-updates-based-risk ; https://nvd.nist.gov/vuln/detail/CVE-2026-63030
CVE-2026-9082,cve,"cisa_kev,nist_nvd_recent",2026-05-22T00:00:00Z,2026-07-25T16:51:49Z,high,88,52,CLEAR,"critical,cve,exploited-in-the-wild,nvd",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://www.drupal.org/sa-core-2026-004 ; https://nvd.nist.gov/vuln/detail/CVE-2026-9082
195.178.110.0/24,ipv4_cidr,"dshield_block,spamhaus_drop",2026-07-19T02:11:45Z,2026-07-25T16:51:49Z,high,88,42,CLEAR,"drop,dshield,sans-isc,scanning,spamhaus",https://www.spamhaus.org/blocklists/do-not-route-or-peer/,Spamhaus DROP/EDROP network
213.209.159.0/24,ipv4_cidr,"dshield_block,spamhaus_drop",2026-07-19T02:11:45Z,2026-07-25T16:51:49Z,high,88,42,CLEAR,"drop,dshield,sans-isc,scanning,spamhaus",https://www.spamhaus.org/blocklists/do-not-route-or-peer/,Spamhaus DROP/EDROP network
43.228.157.0/24,ipv4_cidr,"dshield_block,spamhaus_drop",2026-07-19T02:11:45Z,2026-07-25T16:51:49Z,high,88,42,CLEAR,"drop,dshield,sans-isc,scanning,spamhaus",https://www.spamhaus.org/blocklists/do-not-route-or-peer/,Spamhaus DROP/EDROP network
45.142.193.0/24,ipv4_cidr,"dshield_block,spamhaus_drop",2026-07-19T02:11:45Z,2026-07-25T16:51:49Z,high,88,42,CLEAR,"drop,dshield,sans-isc,scanning,spamhaus",https://www.spamhaus.org/blocklists/do-not-route-or-peer/,Spamhaus DROP/EDROP network
45.148.10.0/24,ipv4_cidr,"dshield_block,spamhaus_drop",2026-07-19T02:11:45Z,2026-07-25T16:51:49Z,high,88,42,CLEAR,"drop,dshield,sans-isc,scanning,spamhaus",https://www.spamhaus.org/blocklists/do-not-route-or-peer/,Spamhaus DROP/EDROP network
77.90.185.0/24,ipv4_cidr,"dshield_block,spamhaus_drop",2026-07-19T02:11:45Z,2026-07-25T16:51:49Z,high,88,42,CLEAR,"drop,dshield,sans-isc,scanning,spamhaus",https://www.spamhaus.org/blocklists/do-not-route-or-peer/,Spamhaus DROP/EDROP network
hxxp://190[.]115[.]80[.]35:49166/Mozi[.]m,url,"threatfox_export_json,urlhaus_recent_urls",2026-07-25T11:02:57Z,2026-07-25T16:51:50Z,high,88,2,CLEAR,"Mozi,elf,iot,malware,malware_download,mirai,threatfox",https://urlhaus.abuse.ch/,URLhaus: malware_download
CVE-2000-0963,cve,nist_nvd_recent,2000-12-19T05:00:00Z,2026-07-23T18:58:25Z,high,80,12,CLEAR,"cve,high,nvd",https://nvd.nist.gov/,Buffer overflow in ncurses library allows local users to execute arbitrary commands via long environmental information such as TERM or TERMINFO_DIRS.
CVE-2002-0062,cve,nist_nvd_recent,2002-03-08T05:00:00Z,2026-07-23T18:58:25Z,high,80,12,CLEAR,"cve,high,nvd",https://nvd.nist.gov/,"Buffer overflow in ncurses 5.0, and the ncurses4 compatibility package as used in Red Hat Linux, allows local users to gain privileges, related to ""routines for moving the physical cursor and scrolling."""
CVE-2002-0367,cve,cisa_kev,2022-03-03T00:00:00Z,2026-07-25T16:51:49Z,high,80,52,CLEAR,"cve,exploited-in-the-wild",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://nvd.nist.gov/vuln/detail/CVE-2002-0367
CVE-2004-0210,cve,cisa_kev,2022-03-03T00:00:00Z,2026-07-25T16:51:49Z,high,80,52,CLEAR,"cve,exploited-in-the-wild",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://nvd.nist.gov/vuln/detail/CVE-2004-0210
CVE-2004-1464,cve,cisa_kev,2023-05-19T00:00:00Z,2026-07-25T16:51:49Z,high,80,52,CLEAR,"cve,exploited-in-the-wild",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-20040827-telnet; https://nvd.nist.gov/vuln/detail/CVE-2004-1464
CVE-2005-2773,cve,cisa_kev,2022-03-25T00:00:00Z,2026-07-25T16:51:49Z,high,80,52,CLEAR,"cve,exploited-in-the-wild",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://nvd.nist.gov/vuln/detail/CVE-2005-2773
CVE-2006-1547,cve,cisa_kev,2022-01-21T00:00:00Z,2026-07-25T16:51:49Z,high,80,52,CLEAR,"cve,exploited-in-the-wild",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://nvd.nist.gov/vuln/detail/CVE-2006-1547
CVE-2006-2492,cve,cisa_kev,2022-06-08T00:00:00Z,2026-07-25T16:51:49Z,high,80,52,CLEAR,"cve,exploited-in-the-wild",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://nvd.nist.gov/vuln/detail/CVE-2006-2492
CVE-2007-0671,cve,cisa_kev,2025-08-12T00:00:00Z,2026-07-25T16:51:49Z,high,80,52,CLEAR,"cve,exploited-in-the-wild",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2007/ms07-015 ; https://nvd.nist.gov/vuln/detail/CVE-2007-0671
CVE-2007-3010,cve,cisa_kev,2022-04-15T00:00:00Z,2026-07-25T16:51:49Z,high,80,52,CLEAR,"cve,exploited-in-the-wild",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://nvd.nist.gov/vuln/detail/CVE-2007-3010
CVE-2007-5659,cve,cisa_kev,2022-06-08T00:00:00Z,2026-07-25T16:51:49Z,high,80,52,CLEAR,"cve,exploited-in-the-wild",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://nvd.nist.gov/vuln/detail/CVE-2007-5659
CVE-2008-0015,cve,cisa_kev,2026-02-17T00:00:00Z,2026-07-25T16:51:49Z,high,80,52,CLEAR,"cve,exploited-in-the-wild",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://web.archive.org/web/20110305211119/https://www.microsoft.com/technet/security/bulletin/ms09-032.mspx ; https://nvd.nist.gov/vuln/detail/CVE-2008-0015
CVE-2008-0655,cve,cisa_kev,2022-06-08T00:00:00Z,2026-07-25T16:51:49Z,high,80,52,CLEAR,"cve,exploited-in-the-wild",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://nvd.nist.gov/vuln/detail/CVE-2008-0655
CVE-2008-2992,cve,cisa_kev,2022-03-03T00:00:00Z,2026-07-25T16:51:49Z,high,80,52,CLEAR,"cve,exploited-in-the-wild",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://nvd.nist.gov/vuln/detail/CVE-2008-2992
CVE-2008-3431,cve,cisa_kev,2022-03-03T00:00:00Z,2026-07-25T16:51:49Z,high,80,52,CLEAR,"cve,exploited-in-the-wild",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://nvd.nist.gov/vuln/detail/CVE-2008-3431
CVE-2008-4128,cve,cisa_kev,2026-07-13T00:00:00Z,2026-07-25T16:51:49Z,high,80,51,CLEAR,"cve,exploited-in-the-wild",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://www.cisco.com/c/en/us/obsolete/ios-nx-os-software/cisco-ios-software-releases-12-4-mainline.html ; BOD 26-04: https://www.cisa.gov/news-events/directives/bod-26-04-prioritizing-security-updates-based-risk ; Forensics Triage Requirements: https://www.cisa.gov/news-events/directives/bod-26-04-implementation-guidance-prioritizing-security-updates-based-risk ; https://nvd.nist.gov/vuln/detail/CVE-2008-4128
CVE-2008-4250,cve,cisa_kev,2026-05-20T00:00:00Z,2026-07-25T16:51:49Z,high,80,52,CLEAR,"cve,exploited-in-the-wild",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/ms08-067 ; https://nvd.nist.gov/vuln/detail/CVE-2008-4250
CVE-2009-0238,cve,cisa_kev,2026-04-14T00:00:00Z,2026-07-25T16:51:49Z,high,80,52,CLEAR,"cve,exploited-in-the-wild",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-009 ; https://nvd.nist.gov/vuln/detail/CVE-2009-0238
CVE-2009-0556,cve,cisa_kev,2026-01-07T00:00:00Z,2026-07-25T16:51:49Z,high,80,52,CLEAR,"cve,exploited-in-the-wild",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-017 ; https://nvd.nist.gov/vuln/detail/CVE-2009-0556
CVE-2009-0557,cve,cisa_kev,2022-06-08T00:00:00Z,2026-07-25T16:51:49Z,high,80,52,CLEAR,"cve,exploited-in-the-wild",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://nvd.nist.gov/vuln/detail/CVE-2009-0557
CVE-2009-0563,cve,cisa_kev,2022-06-08T00:00:00Z,2026-07-25T16:51:49Z,high,80,52,CLEAR,"cve,exploited-in-the-wild",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://nvd.nist.gov/vuln/detail/CVE-2009-0563
CVE-2009-0927,cve,cisa_kev,2022-03-25T00:00:00Z,2026-07-25T16:51:49Z,high,80,52,CLEAR,"cve,exploited-in-the-wild",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://nvd.nist.gov/vuln/detail/CVE-2009-0927
CVE-2009-1123,cve,cisa_kev,2022-03-03T00:00:00Z,2026-07-25T16:51:49Z,high,80,52,CLEAR,"cve,exploited-in-the-wild",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://nvd.nist.gov/vuln/detail/CVE-2009-1123
CVE-2009-1151,cve,cisa_kev,2022-03-25T00:00:00Z,2026-07-25T16:51:49Z,high,80,52,CLEAR,"cve,exploited-in-the-wild",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://nvd.nist.gov/vuln/detail/CVE-2009-1151
CVE-2009-1537,cve,cisa_kev,2026-05-20T00:00:00Z,2026-07-25T16:51:49Z,high,80,52,CLEAR,"cve,exploited-in-the-wild",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://learn.microsoft.com/en-us/security-updates/securitybulletins/2009/ms09-028 ; https://nvd.nist.gov/vuln/detail/CVE-2009-1537
CVE-2009-1862,cve,cisa_kev,2022-06-08T00:00:00Z,2026-07-25T16:51:49Z,high,80,52,CLEAR,"cve,exploited-in-the-wild",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://nvd.nist.gov/vuln/detail/CVE-2009-1862
CVE-2009-2055,cve,cisa_kev,2022-03-25T00:00:00Z,2026-07-25T16:51:49Z,high,80,52,CLEAR,"cve,exploited-in-the-wild",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://nvd.nist.gov/vuln/detail/CVE-2009-2055
CVE-2009-3129,cve,cisa_kev,2022-03-03T00:00:00Z,2026-07-25T16:51:49Z,high,80,52,CLEAR,"cve,exploited-in-the-wild",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,https://nvd.nist.gov/vuln/detail/CVE-2009-3129
CVE-2009-3459,cve,cisa_kev,2026-05-20T00:00:00Z,2026-07-25T16:51:49Z,high,80,52,CLEAR,"cve,exploited-in-the-wild",https://www.cisa.gov/known-exploited-vulnerabilities-catalog,"https://www.cisa.gov/news-events/alerts/2009/10/13/adobe-reader-and-acrobat-vulnerabilities ; https://web.archive.org/web/20120324170253/http://www.adobe.com/support/security/bulletins/apsb09-15.html#:~:text=CVE%2D2009%2D3459).-,NOTE%3A,-There%20are%20reports ; https://nvd.nist.gov/vuln/detail/CVE-2009-3459"
